Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Blizzard Lighting HotBox RGBA,30°,47W,,F,0,,6.9,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,7.44',11.67',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,ca832620-ea83-4c9f-8863-0cca4ad662d1,
MEGA-lite Bright Stripe,30°,17W,,F,0,,6.97,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,7.44',4.63',1.33',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,72ed24a2-17a0-4128-bd5a-75eb45a4e9ff,
MEGA-lite Bright Stripe,30°,17W,,F,0,,6.145,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,7.44',7.45',1.33',90°,-45.0°,-180.0°,-179°,90°,No,,,No,,,93ec3534-1ed6-4d5d-b6d3-793b3cf9e2e0,
MEGA-lite Bright Stripe,30°,17W,,F,0,,6.193,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,7.44',10.26',1.33',90°,45.0°,180.0°,-180°,90°,No,,,No,,,b707c638-94c3-4306-83e2-c431769cdfc0,
ADJ 12PX Hex,30°,133W,,F,0,,6.86,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,7.44',8.85',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,8a172f1b-d1a9-410a-bd24-baa83754dadc,
ADJ Vizi Wash Z19,10° - 60°,276W,,F,0,,6.33,12 Channel v.1.2,12,Z19 Wash,,,,,,,18.9lbs,,8.93',9.64',-0.19',0°,-90°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,d389aa85-9812-4213-996e-190b8332edf0,
Blizzard Lighting HotBox RGBA,30°,47W,,F,0,,6.17,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,10.50',6.04',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,74714ab9-c2ef-438f-b4cb-f519fbee1b45,
Blizzard Lighting HotBox RGBA,30°,47W,,F,0,,6.25,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,10.50',11.67',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,a316d88f-38d8-464f-ab3d-ad2abf2e938d,
MEGA-lite Bright Stripe,30°,17W,,F,0,,6.241,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,10.50',4.63',1.33',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,4a38b0de-e89e-4c02-b1c5-edebb89f8e93,
MEGA-lite Bright Stripe,30°,17W,,F,0,,6.289,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,10.50',7.45',1.33',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,2ef30dab-1699-4a1f-a313-df5495f8a5bb,
